# TM102 live session port=/dev/cu.usbserial-0001 started=20260826-140054
locked RF_CH 50 (2450 MHz)

Addressed capture: 5-byte address 18 18 18 18 3A, CRC off.
Every line below matched all 40 address bits in hardware.
Byte 0 is payload p0. Press x to stop.

[CH: 50] LEN: 12 | HEX: FA 76 FE ED 60 F7 57 FE FB AC AF DF | T:2468880 RPD:1
[CH: 50] LEN: 12 | HEX: F6 76 FA EC 61 EF AF FE E7 49 AF EE | T:2468910 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 F5 EB 66 FB 5F FA 51 B0 AF EF | T:2468940 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FA EA 67 FD 7E F5 4D 55 AD BA | T:2468970 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE E9 64 FF D7 FF 38 5B AF FF | T:2469000 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE E8 65 F7 BF 5F E4 BE BF FF | T:2469030 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 F5 E7 6A FF AF FE D5 A9 AF ED | T:2469060 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 FE E6 6B DE BF FD 49 4C BF D7 | T:2469090 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE E5 68 FF 7F BD 7C 42 AF DD | T:2469120 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FC E4 69 ED 7F FD 20 A7 EF FF | T:2469150 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 FE E3 6E FF EF FF 16 5E BF FF | T:2469180 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 F6 E2 6F FD 7F FA CA BB BB EF | T:2469210 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 FE E1 6C FF 5F FE BF B5 AF FF | T:2469240 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 EA E0 6D FF 5F FD 63 50 BE DF | T:2469270 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE DF 52 F7 5F FE B2 40 BB 7E | T:2469300 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 FE FE 73 F7 7F 7F 11 5F AF EA | T:2469350 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE FD 70 F7 BF FD 64 51 BF BF | T:2469381 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE F4 71 FF 5F FA B8 B4 AB 55 | T:2469411 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 FA FB 76 FB 7F 6F 8E 4D A7 EF | T:2469441 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE FA 77 FF D7 7B 52 A8 BF DB | T:2469471 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE F1 74 FF 5F BA 27 A6 AF FE | T:2469501 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE F8 75 FF 5F 6A FB 43 BB FF | T:2469531 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FC F7 7A FF D7 FF CA 54 A3 5D | T:2469561 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 FA E6 73 FD 7F F7 96 B1 BF FF | T:2469591 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 FE F5 78 FF 5F FE D3 BE EE FF | T:2469621 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 FE F4 79 FF 5F FD 3F 5A AF 6A | T:2469651 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 FF F3 7E F5 5F D6 09 A3 B7 FF | T:2469681 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE F2 7F D7 AF FE 95 46 BE BF | T:2469711 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE E1 7C EF 7F AD A0 48 AA F7 | T:2469741 RPD:1
[CH: 50] LEN: 12 | HEX: EA 76 FE E0 75 DE BF 75 7C AD BF FB | T:2469771 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 FE EF 62 FF BF BA D2 47 AE EF | T:2469801 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 F4 EE 63 DD 7F 7A 0E A2 AF FF | T:2469830 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE ED 60 FF 5E BE 7B AC BF FE | T:2469860 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 F4 EC 61 EF 7F 77 A7 49 BF D7 | T:2469890 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FA EB 66 FF 5F DF 91 B0 AF FF | T:2469920 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 FC EA 67 FD 7F D7 4D 55 AF AF | T:2469950 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 F4 E9 64 EF 7E FF 38 5B AF FF | T:2469980 RPD:1
