# TM102 live session port=/dev/cu.usbserial-0001 started=20260826-153939
[CH: 50] LEN: 12 | HEX: F2 76 FE EA 67 F8 93 EF 86 82 BE DF | T:8381034 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 FC E9 64 F0 93 B5 F3 8C BF FA | T:8381064 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 FE E8 65 F8 93 DD 2F 69 BF B7 | T:8381094 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE E7 6A F0 93 DF 5E 7E AD FF | T:8381124 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 FE E6 6B F8 93 FE C2 9B BF FF | T:8381154 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE E5 68 F0 93 FD B7 95 AF 7F | T:8381184 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE E4 69 F4 93 DD 6B 70 AE FD | T:8381214 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 F6 E3 6E F0 93 DE DD 89 AF 57 | T:8381244 RPD:1
[CH: 50] LEN: 12 | HEX: EA 76 FD E2 6F 74 93 FE 81 6C BE F7 | T:8381274 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE E1 6C F8 93 EF 74 62 BF BA | T:8381304 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE E0 6D F0 93 FD A8 87 ED FF | T:8381334 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 FE DE 52 F8 93 FF B9 97 AF 5F | T:8381364 RPD:1
[CH: 50] LEN: 12 | HEX: F6 76 F6 FA 73 F8 93 DB DA 88 BF BF | T:8381394 RPD:1
[CH: 50] LEN: 12 | HEX: F6 76 FE FB 78 F8 93 D6 AF 86 BF 75 | T:8381397 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE FC 71 F8 93 FD 73 63 AF FD | T:8381401 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 F6 FB 76 F8 93 FA 45 9A BF FF | T:8381413 RPD:1
