# TM102 live session port=/dev/cu.usbserial-0001 started=20260826-145842
0] LEN: 12 | HEX: FA 76 FE E0 6D F1 92 FA AC 86 AF FF | T:5922522 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE E9 64 F9 92 F5 F7 8D BA F5 | T:5923752 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FC E8 65 F9 92 F5 2B 68 BD FF | T:5923782 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 FC E7 6A F9 92 FD 9A 7F BD FB | T:5923812 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 FA E6 6B F9 92 FF 46 9A BF FF | T:5923842 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 FE E5 68 E9 92 F5 33 14 BF FA | T:5923872 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE E4 69 F9 92 FF DF 71 AF 76 | T:5923902 RPD:1
[CH: 50] LEN: 12 | HEX: EA 76 F5 E3 6E E9 92 FF D9 88 BF EF | T:5923932 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FB E2 6E F1 92 F7 05 6D BF DF | T:5923962 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 FE E1 6C F1 92 F7 70 63 FF 7F | T:5923992 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 FE E0 6D D1 92 FF 2C 86 BD EF | T:5924022 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE DF 52 F9 92 EA 39 96 BF DE | T:5924052 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 F6 FC 73 F9 92 FD 5E 89 BF 6F | T:5924082 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 FE F5 70 F9 92 FF AB 87 BF D7 | T:5924086 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FF F6 71 F1 92 FB 77 62 BF BF | T:5924090 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 FE FA 77 F9 92 EA 9D 7E BF 7F | T:5924101 RPD:1
[CH: 50] LEN: 12 | HEX: F6 76 F6 F9 74 F1 92 FF B8 70 BD EB | T:5924101 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE F8 75 F1 92 FF 34 95 BD FF | T:5924113 RPD:1
[CH: 50] LEN: 12 | HEX: F6 76 FE F7 7A F9 92 F5 85 82 BF ED | T:5924113 RPD:0
[CH: 50] LEN: 12 | HEX: F2 76 FE F6 7B E9 92 FA D9 67 BF FF | T:5924124 RPD:0
[CH: 50] LEN: 12 | HEX: FA 76 FE F5 78 F1 92 FF 2C 69 AD FB | T:5924142 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 FE F4 79 F1 92 FA E8 8C BD AF | T:5924172 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE F3 7B F1 92 FF E6 75 BF FD | T:5924202 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 F4 E2 7B B9 92 F5 1A 90 BE EF | T:5924232 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FA F1 7C F9 92 FF 6F 9E AF FF | T:5924262 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE F0 79 F9 B2 FD F3 7B BF 5D | T:5924292 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 F5 EF 62 F9 92 F7 1D 91 AF FF | T:5924322 RPD:1
[CH: 50] LEN: 12 | HEX: EE 76 FE EE 63 A9 92 FF 41 74 BF DF | T:5924352 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 FE ED 60 E9 92 F7 B4 7A B7 BF | T:5924382 RPD:1
[CH: 50] LEN: 12 | HEX: EA 76 FE EC 61 F9 92 FB 68 9E BD FF | T:5924412 RPD:1
[CH: 50] LEN: 12 | HEX: F6 76 FD EB 66 F9 92 FE 5E 66 BF AA | T:5924442 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 D6 EA 67 B1 92 F7 82 83 BF FB | T:5924472 RPD:1
[CH: 50] LEN: 12 | HEX: EA 76 F6 E9 64 F5 92 FF EF 8D B7 FE | T:5924502 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 F6 E8 65 ED 92 F5 2B 68 BF EF | T:5924532 RPD:1
[CH: 50] LEN: 12 | HEX: F6 76 FE E6 6B B9 92 FE C6 9A B7 77 | T:5924592 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 F6 E5 68 F9 92 FD 33 94 BD FF | T:5924622 RPD:1
locked RF_CH 50 (2450 MHz)
[CH: 50] LEN: 12 | HEX: FA 76 EE E4 69 D1 92 F6 EF 71 BF DF | T:5924651 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 F4 E3 6E F5 92 F7 B9 88 BF FA | T:5924681 RPD:1
[CH: 50] LEN: 12 | HEX: EA 76 EC E2 6F F5 92 EE 85 6D BF D7 | T:5924711 RPD:1
[CH: 50] LEN: 12 | HEX: EA 76 F6 E1 6C F1 92 F7 70 63 B6 FF | T:5924741 RPD:0
[CH: 50] LEN: 12 | HEX: FA 76 F4 DF 52 E9 B2 EB 3D 96 B5 FE | T:5924801 RPD:0
[CH: 50] LEN: 12 | HEX: F2 76 FA FD 70 F9 92 FA EB 87 BF FA | T:5924861 RPD:0
[CH: 50] LEN: 12 | HEX: FA 76 FC F8 71 D5 92 FF 77 62 B5 BD | T:5924891 RPD:0
[CH: 50] LEN: 12 | HEX: FA 76 FC FB 76 F9 92 FA C1 9B BF FF | T:5924921 RPD:0
[CH: 50] LEN: 12 | HEX: AE 56 EC DA 77 B1 92 EA 9D 6C BF FF | T:5924925 RPD:0
[CH: 50] LEN: 12 | HEX: FA 76 FE F8 75 F1 92 FF 34 95 AF FB | T:5924933 RPD:0
[CH: 50] LEN: 12 | HEX: F2 76 F6 F7 FA F9 92 F7 45 82 BF E7 | T:5924937 RPD:0
[CH: 50] LEN: 12 | HEX: FA 76 F5 F6 7B E9 92 FF 59 67 BF FB | T:5924967 RPD:0
[CH: 50] LEN: 12 | HEX: FA 76 F6 F5 70 F9 92 FF 2C 69 BE F7 | T:5924997 RPD:0
[CH: 50] LEN: 12 | HEX: FA 76 F6 F4 79 F1 92 FF F0 8C BF FF | T:5925027 RPD:0

Addressed capture: 5-byte address 18 18 18 18 3A, CRC off.
Every line below matched all 40 address bits in hardware.
Byte 0 is payload p0. Press x to stop.

[CH: 50] LEN: 12 | HEX: FA 76 FA E3 74 F9 92 FF A6 7D BF BD | T:5925057 RPD:0
[CH: 50] LEN: 12 | HEX: D2 76 F6 F1 78 ED 92 F7 6F 9E BB 3F | T:5925117 RPD:0
[CH: 50] LEN: 12 | HEX: F2 76 FE F0 7D F1 92 FB 33 7B AB EE | T:5925147 RPD:0
[CH: 50] LEN: 12 | HEX: FA 76 FE EF 62 F9 92 F6 9D 91 BD 76 | T:5925177 RPD:0
[CH: 50] LEN: 12 | HEX: FA 76 FE EE 63 E9 92 FF C1 74 BA 77 | T:5925207 RPD:0
[CH: 50] LEN: 12 | HEX: FA 76 FE ED 60 F9 92 F7 34 7A BE F7 | T:5925237 RPD:0
[CH: 50] LEN: 12 | HEX: FA 76 EA EC 61 F9 92 FF 68 9F BD FD | T:5925267 RPD:0
[CH: 50] LEN: 12 | HEX: F2 76 FE EB 66 F1 92 FB 5E 66 BF 7F | T:5925297 RPD:0
[CH: 50] LEN: 12 | HEX: FA 76 F6 EA 67 F9 92 EA 82 83 3E 7B | T:5925327 RPD:0
[CH: 50] LEN: 12 | HEX: FA 76 FE E9 64 F9 92 F7 F7 8D BF BD | T:5925357 RPD:0
[CH: 50] LEN: 12 | HEX: EE 76 EC E7 6A F1 92 FF 5A 7B BA FF | T:5925417 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 F6 E6 6B B1 92 F7 46 9A BF FF | T:5925447 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 F5 E5 68 E9 92 FA 33 94 BD FF | T:5925477 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE EC 69 F9 92 FF 4F 71 BC FB | T:5925507 RPD:1
[CH: 50] LEN: 12 | HEX: F6 76 F6 E3 6E F9 92 FF B9 88 AF 7B | T:5925537 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 F6 E2 6F F5 92 F7 05 6D BF FF | T:5925567 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 F6 E1 6C E9 92 FB 70 63 BC F7 | T:5925597 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 F4 E0 6D E9 92 FD 6C 86 BF FF | T:5925627 RPD:1
[CH: 50] LEN: 12 | HEX: F6 76 F4 DF 52 F5 92 FA 3D 96 BB E5 | T:5925657 RPD:1
[CH: 50] LEN: 12 | HEX: F6 76 FE ED 70 F5 92 FB EB 87 B5 FE | T:5925690 RPD:1
[CH: 50] LEN: 12 | HEX: F6 76 F6 F4 71 E9 92 EF 77 62 BF FF | T:5925694 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 F4 F7 76 F9 92 EB 41 9B BF FF | T:5925698 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 EA FD 74 E9 92 FE E8 70 AB FE | T:5925732 RPD:1
[CH: 50] LEN: 12 | HEX: FA 7E FE E8 75 FD 92 EF 34 95 AD FF | T:5925736 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FD EF 7A ED 92 F7 85 82 BF 7F | T:5925740 RPD:1
[CH: 50] LEN: 12 | HEX: EA 76 DD EE 73 B9 92 EF 59 67 7F F5 | T:5925751 RPD:1
[CH: 50] LEN: 12 | HEX: F6 76 EF ED 74 F1 92 FE 2C 69 BE FF | T:5925774 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 EE EC 75 FD 92 FF E8 8C BF FF | T:5925804 RPD:1
[CH: 50] LEN: 12 | HEX: EA 76 EE E8 7D F9 92 FF B3 7B FF 7F | T:5925924 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 FC EC 61 D9 92 EB 68 9F BF FD | T:5926044 RPD:1
[CH: 50] LEN: 12 | HEX: EA 76 FD FB 66 E9 92 EF 5A 66 BF 75 | T:5926074 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 EE EA 67 F5 92 FE 82 83 FF EE | T:5926104 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 ED E9 64 F5 92 F7 FF 4D BF 7B | T:5926134 RPD:1
[CH: 50] LEN: 12 | HEX: EA 76 F6 F7 6A F9 92 ED 9A 77 6F CB | T:5926194 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE E6 6B F9 92 FB 46 9A AF FF | T:5926224 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 F4 E5 68 E9 92 FF 33 94 BF FB | T:5926254 RPD:1
[CH: 50] LEN: 12 | HEX: FE 76 FE E4 69 F9 92 EE EF 71 BB FF | T:5926284 RPD:1
[CH: 50] LEN: 12 | HEX: EE 76 F6 E3 6E F1 92 FF D9 88 BB 7E | T:5926314 RPD:1
[CH: 50] LEN: 12 | HEX: F6 76 F4 E2 6D 79 92 ED 05 6D BF F7 | T:5926344 RPD:1
[CH: 50] LEN: 12 | HEX: F6 76 FE E1 6C F9 92 F7 70 63 BF FE | T:5926374 RPD:1
[CH: 50] LEN: 12 | HEX: F6 76 F6 E0 6D F9 92 F7 6C 86 BF F7 | T:5926404 RPD:1
[CH: 50] LEN: 12 | HEX: EA 76 EE DE 52 F5 92 FF 39 96 BD FF | T:5926434 RPD:1
[CH: 50] LEN: 12 | HEX: EA 76 EE EA 73 F9 92 F6 9D 89 BF FF | T:5926464 RPD:1
[CH: 50] LEN: 12 | HEX: EA 76 FE FD 70 F9 92 FF 6B 87 BF FD | T:5926467 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 F6 EC 71 F9 92 FE F7 62 BB EF | T:5926470 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 EE FB 76 F5 92 F7 41 9B BF DE | T:5926482 RPD:1
[CH: 50] LEN: 12 | HEX: EA 76 EE FA 77 B5 92 F7 9D 7E BF FF | T:5926482 RPD:0
[CH: 50] LEN: 12 | HEX: FA 76 F6 F1 74 F9 92 EF E8 70 BF EF | T:5926493 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE F4 75 D1 92 FE B4 95 BD D7 | T:5926494 RPD:0
[CH: 50] LEN: 12 | HEX: FA 6E F6 EE 7B DD 92 FD 59 67 7F BF | T:5926505 RPD:0
[CH: 50] LEN: 12 | HEX: EA 76 FE F5 70 F9 92 FE AC 69 AE EF | T:5926523 RPD:1
[CH: 50] LEN: 12 | HEX: EA 76 F6 EC 75 D9 92 FD 70 8C BF F7 | T:5926553 RPD:1
[CH: 50] LEN: 12 | HEX: EA 76 FD EB 7E F9 92 EF C6 75 B7 FF | T:5926583 RPD:1
[CH: 50] LEN: 12 | HEX: FA 7E F7 F2 7D F5 92 FF 1A 90 BF 53 | T:5926613 RPD:1
[CH: 50] LEN: 12 | HEX: EA 76 EE F1 74 F9 92 ED 6E 9D BF FF | T:5926643 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 EE F0 7F F9 92 FF B3 7F BF D7 | T:5926673 RPD:1
[CH: 50] LEN: 12 | HEX: EA 76 FE EF 62 F5 92 EF 1D 91 BE ED | T:5926703 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 EE EE 63 D9 92 FF 41 74 B7 FF | T:5926733 RPD:1
[CH: 50] LEN: 12 | HEX: EA 76 ED ED 60 F9 92 FE B4 7A BF FF | T:5926763 RPD:1
[CH: 50] LEN: 12 | HEX: EA 76 FD EC 61 D9 92 F7 68 9D BF FF | T:5926793 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 F6 EB 66 E9 92 FF 5D 66 AF 6F | T:5926822 RPD:1
[CH: 50] LEN: 12 | HEX: FA 6E ED EA 67 F5 92 FF 02 83 FF FF | T:5926852 RPD:1
[CH: 50] LEN: 12 | HEX: EA 76 F6 E9 64 F9 92 FE F7 0D AF FD | T:5926882 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 F7 E8 65 F9 92 EE 2B 68 BF 7E | T:5926912 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 F4 E7 6A FD 92 EE 9A 7F AB BB | T:5926942 RPD:1
[CH: 50] LEN: 12 | HEX: EA 76 FD E6 6B F5 92 FF C6 9A BF F7 | T:5926972 RPD:1
[CH: 50] LEN: 12 | HEX: EA 76 F6 E4 69 F9 92 FE EE 71 BF FF | T:5927032 RPD:1
[CH: 50] LEN: 12 | HEX: FA 6E FA E3 6E F5 92 FF 59 88 BF FF | T:5927062 RPD:1
[CH: 50] LEN: 12 | HEX: F6 76 F6 E2 6E F1 92 FF 85 6D BF FF | T:5927092 RPD:1
[CH: 50] LEN: 12 | HEX: EA 76 F4 E1 6C F1 92 FE 70 63 AE FE | T:5927122 RPD:1
[CH: 50] LEN: 12 | HEX: F6 76 FE E0 6D F9 92 FE AC 86 BF FF | T:5927152 RPD:1
[CH: 50] LEN: 12 | HEX: F6 76 F6 DD 52 E9 92 EA 35 96 AB 6B | T:5927182 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE F4 73 F9 92 EE DC 89 BA FD | T:5927212 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE FD 70 F5 92 F5 AB 87 AF 7F | T:5927216 RPD:1
[CH: 50] LEN: 12 | HEX: F6 76 EC EB 76 F1 92 F7 41 9B AF FF | T:5927224 RPD:1
[CH: 50] LEN: 12 | HEX: EA 76 EC F6 77 69 92 F7 9D 76 BF 7B | T:5927228 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE F1 74 F9 92 F7 68 70 BA FE | T:5927239 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 EE F8 75 D9 92 EE B4 95 BB BF | T:5927239 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 EE F7 7A F9 92 F6 85 82 BE FF | T:5927251 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE F6 7B D9 92 EE 59 67 3B FD | T:5927251 RPD:1
[CH: 50] LEN: 12 | HEX: EA 76 F6 ED 78 F5 92 FF 2C 69 BF FF | T:5927273 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 F6 F4 79 E9 92 F7 F0 8C BB FB | T:5927303 RPD:1
