# TM102 live session port=/dev/cu.usbserial-0001 started=20260826-154512
[CH: 50] LEN: 12 | HEX: F2 76 FE F6 7B 79 91 D7 37 6E BF FF | T:8713565 RPD:0
[CH: 50] LEN: 12 | HEX: FA 76 FE F5 78 79 91 FE C2 60 BF FF | T:8713582 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE F4 79 79 91 FF 5E 85 BF FC | T:8713612 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 EE E3 7E 71 91 DF A8 78 AF FE | T:8713642 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FB F2 7F 79 91 FF 74 99 AF F5 | T:8713672 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE F1 78 79 91 FF 81 97 BD FF | T:8713702 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 FE F0 79 79 91 EE 9D 72 BD 7B | T:8713732 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 F6 EF 62 79 91 FF 73 98 A7 F7 | T:8713762 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 FE EE 63 79 91 FF 2F 7D BB FF | T:8713792 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE ED 60 79 91 D7 5A 73 AF F5 | T:8713822 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 FE EC 61 79 91 FE 86 96 BF FF | T:8713852 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE EB 66 79 91 FE B0 6F BF FF | T:8713882 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE EA 67 79 91 F7 EC 8A B7 FB | T:8713912 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FF E9 64 71 91 F7 19 84 BF 7F | T:8713942 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE E8 65 79 91 FE C5 61 BE 93 | T:8713972 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FA E7 6A 71 91 FE A4 76 BB FB | T:8714002 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FC E6 6B 79 91 FF 28 93 BD FD | T:8714032 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 F6 E5 68 79 91 FE 5D 9D AF BD | T:8714062 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FF E4 69 79 91 D5 41 7C BF FB | T:8714092 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE E3 6E 79 91 FF 77 81 AF DF | T:8714122 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 FA E2 6F 79 91 FF 6B 64 BE DD | T:8714152 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE E1 6C 79 91 FF 1E 6A BD 55 | T:8714182 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE E0 6D 79 91 DE 82 8F BF FB | T:8714212 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 F6 DE 52 79 91 FF 53 9F 3F FF | T:8714242 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE F6 73 79 91 FF 70 80 BF BF | T:8714272 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FA F5 70 79 91 FF 25 8E BF FE | T:8714275 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE FC 71 79 91 FF 19 6B AD 7F | T:8714280 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE FB 76 79 91 F7 2F 92 AF 7F | T:8714291 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE F2 77 79 91 FF 53 77 B7 7F | T:8714291 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE F9 74 79 91 FF 86 79 B7 DF | T:8714302 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE F8 75 71 91 D5 5A 9C B3 7B | T:8714303 RPD:0
[CH: 50] LEN: 12 | HEX: FA 76 FE F7 7A 79 91 FF FB 8B BF DD | T:8714314 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE F6 7B 79 91 FF 37 6E BB EE | T:8714325 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 F6 F5 70 71 91 D5 42 60 AB EB | T:8714334 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE F4 79 79 91 FF DE 85 AB FF | T:8714364 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE F3 7E 79 91 EB 68 78 AF FE | T:8714394 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 FE F2 7B 79 91 EA 74 99 BF F7 | T:8714424 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE E1 78 79 91 F7 01 97 AF FF | T:8714454 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FA F0 7B 79 91 FF 5D 72 BF DD | T:8714484 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE EF 62 79 91 FF 73 98 AD BF | T:8714514 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 F6 EE 63 79 91 FF 6F 75 AB FE | T:8714544 RPD:1
[CH: 50] LEN: 12 | HEX: EA 76 F6 ED 60 79 91 EF FA 73 BF FF | T:8714574 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE EC 61 79 91 FF 06 96 AF FF | T:8714604 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 ED EB 66 71 91 DF 30 6E AF EF | T:8714634 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 FE EA 67 79 91 FF 4C 8A BE FF | T:8714664 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE E9 64 71 91 FE D9 84 AE FD | T:8714694 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FC E8 65 79 91 FF 45 61 AF BF | T:8714724 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FC E7 6A 79 91 FF E4 76 BE EE | T:8714754 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FF E6 6B 79 91 FF 28 93 AF EB | T:8714784 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 EE E5 68 79 91 EE 5D 9D BF FF | T:8714814 RPD:1
locked RF_CH 50 (2450 MHz)
[CH: 50] LEN: 12 | HEX: F2 76 FE E4 69 79 91 F7 81 78 BF 6F | T:8714843 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 F6 E3 6E 79 91 FF B7 81 BB FF | T:8714873 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE E2 6F 79 91 FE EB 64 BF EF | T:8714903 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE E1 6C 79 91 F7 1E 6A A7 B6 | T:8714933 RPD:1
[CH: 50] LEN: 12 | HEX: F2 7E FE E0 6D 79 91 EF C2 8F BF F7 | T:8714963 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE DE 52 79 91 F7 D3 9E BF FD | T:8714993 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE FE 73 79 91 FF B0 80 BD FF | T:8715023 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE FD 70 79 91 FF A5 8E AF BD | T:8715027 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 EE F4 71 79 91 FF 19 6B FB FE | T:8715031 RPD:1
[CH: 50] LEN: 12 | HEX: F6 76 FE FB 76 79 91 FF 2F 92 BE ED | T:8715042 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 FE FA 77 79 91 FF DB 77 BF FF | T:8715043 RPD:0
[CH: 50] LEN: 12 | HEX: FA 76 FE F1 74 79 91 FF 86 79 BF DB | T:8715054 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FD F8 7D 79 91 FF 5A 9C BF D5 | T:8715054 RPD:0
[CH: 50] LEN: 12 | HEX: FA 76 FE F7 7A 79 91 FF DB 8B BF 5F | T:8715065 RPD:0
[CH: 50] LEN: 12 | HEX: FA 76 FE F5 70 71 91 AA 42 60 B7 D5 | T:8715082 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 F5 F4 71 71 91 FF 5E 85 AE BB | T:8715112 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 F6 F3 7C 79 91 FF A8 7C AD F7 | T:8715142 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE F2 7B 79 91 FF 74 99 AF DB | T:8715172 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 FE F1 7C 79 91 FE 81 97 AF FD | T:8715202 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE F0 7D 79 91 D7 DD 72 BF AF | T:8715232 RPD:1

Addressed capture: 5-byte address 18 18 18 18 3A, CRC off.
Every line below matched all 40 address bits in hardware.
Byte 0 is payload p0. Press x to stop.

[CH: 50] LEN: 12 | HEX: FA 76 FE EF 62 79 91 DD 73 98 AB AD | T:8715262 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE EE 63 79 91 FB 6F 7D AF AF | T:8715292 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 F5 ED 60 79 91 FF 5A 73 BE F7 | T:8715322 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE EC 61 79 91 F7 06 96 BF 6F | T:8715352 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 EA EB 66 79 91 D7 30 6F 3E 7F | T:8715382 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 FA EA 67 79 91 DE EC 8A BF F7 | T:8715412 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 FE E9 64 79 91 FE 99 84 BF FF | T:8715442 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE E8 65 79 91 FF 45 61 BE FF | T:8715472 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE E7 6A 79 91 FD 74 76 BF BE | T:8715502 RPD:1
[CH: 50] LEN: 12 | HEX: FA 7E FE E5 68 79 91 FE DD 9D BD DC | T:8715562 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 F5 E4 69 79 91 EE C1 78 BB FE | T:8715592 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE E3 6E 71 91 FF B7 81 BB DF | T:8715622 RPD:1
[CH: 50] LEN: 12 | HEX: F6 76 F6 E2 6F 75 91 FE 6B 64 BF 7F | T:8715652 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE E1 6C 7D 91 FF 1E 6A AD FF | T:8715682 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE E0 6D 79 91 FF A2 8F BF FD | T:8715712 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE DF 52 79 91 FF 53 9F B7 FF | T:8715742 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE F6 73 71 91 F6 B0 80 BF EE | T:8715772 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FA FD 70 79 91 FF C5 8E BF 7D | T:8715775 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE F4 71 79 91 F5 19 6B AF FB | T:8715779 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 FE FB 76 79 91 FB 2F 92 AB 76 | T:8715791 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 F6 FA 77 79 91 EE A3 77 BF FF | T:8715814 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE F9 74 79 91 FF 86 79 AF DF | T:8715817 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE F8 75 79 91 FE DA 9C BB DD | T:8715821 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 F6 F7 7A 79 91 FF 4B 8B BF 7E | T:8715833 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 FD F6 7B 79 91 FF 37 6E BF BF | T:8715856 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE F5 78 79 91 F7 42 60 BD FB | T:8715886 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE F4 71 79 91 FF 9E 85 AA BE | T:8715916 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 F6 F3 76 79 91 EA E8 78 BF B8 | T:8715946 RPD:1
[CH: 50] LEN: 12 | HEX: EA 76 FE F2 7F 79 91 FF 74 99 B6 DD | T:8715976 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 FE F1 7C 79 91 FF 01 97 AE A4 | T:8716006 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 F5 F0 7D 79 91 FF BD 72 AF DF | T:8716036 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE EF 62 79 91 FF 73 D8 BF FD | T:8716066 RPD:1
