# TM102 capture — label=buzz-2 port=/dev/cu.usbserial-0001 started=20260826-133344
[CH: 50] LEN: 12 | HEX: F1 77 5E F4 FE 70 95 F6 F6 7F BF BF | T:826341 RPD:1
[CH: 50] LEN: 12 | HEX: E9 77 FA EB FC 73 95 F5 41 DD BF BF | T:826352 RPD:1
[CH: 50] LEN: 12 | HEX: FD 77 F6 FD FD 73 95 FE 81 FF BF FF | T:826353 RPD:1
[CH: 50] LEN: 12 | HEX: F9 77 F4 FE F6 70 95 FE F6 7E AE 7F | T:826364 RPD:1
[CH: 50] LEN: 12 | HEX: F9 77 DC E9 FF 73 D5 D5 41 D5 B7 77 | T:826364 RPD:0
[CH: 50] LEN: 12 | HEX: F1 77 FB FA FE 70 95 EE F6 75 B7 FE | T:826375 RPD:1
[CH: 50] LEN: 12 | HEX: E9 77 DE F4 FE 70 95 EF 76 7F 75 FF | T:826387 RPD:1
[CH: 50] LEN: 12 | HEX: E9 77 DC FB FA 73 95 EB C1 FD BF FB | T:826387 RPD:0
[CH: 50] LEN: 12 | HEX: E9 77 BA F5 FE 70 95 D6 F6 7B BF EF | T:826398 RPD:1
[CH: 50] LEN: 12 | HEX: F5 77 F4 FE FE 70 95 EF 76 7D 3F FF | T:826399 RPD:0
[CH: 50] LEN: 12 | HEX: F9 77 FA FD F6 73 95 FF 41 FD BF 3D | T:826410 RPD:1
[CH: 50] LEN: 12 | HEX: F5 77 7A F6 FE 70 95 FE F6 7D 7F DF | T:826421 RPD:1
[CH: 50] LEN: 12 | HEX: F5 77 D4 A1 14 42 15 0A C1 0D 3D 6A | T:826421 RPD:0
[CH: 50] LEN: 12 | HEX: F9 77 56 EE F6 70 95 EE F6 77 7F ED | T:826433 RPD:1
[CH: 50] LEN: 12 | HEX: F9 77 D4 FB FD 73 95 DD 41 F5 BF FB | T:826433 RPD:0
[CH: 50] LEN: 12 | HEX: F9 77 FA FE FE 70 95 EE 76 7E BB FE | T:826444 RPD:1
[CH: 50] LEN: 12 | HEX: F9 77 5A F5 EE 73 95 FD 41 D5 BD F7 | T:826445 RPD:0
[CH: 50] LEN: 12 | HEX: F9 77 7C FE F4 70 95 FF 76 7F FF B7 | T:826456 RPD:1
[CH: 50] LEN: 12 | HEX: F9 77 FA FD FE 73 95 FE 81 F5 AF DF | T:826467 RPD:1
[CH: 50] LEN: 12 | HEX: F1 77 FA FE FE 70 95 FE F6 77 77 FF | T:826467 RPD:0
[CH: 50] LEN: 12 | HEX: F9 77 7E FD FC 73 95 EF 41 FD B7 BD | T:826479 RPD:1
[CH: 50] LEN: 12 | HEX: F1 77 5C FD D6 73 95 FE 81 FD BF FB | T:826479 RPD:0
[CH: 50] LEN: 12 | HEX: F9 77 7E FE FA 70 95 F7 76 77 7F DF | T:826490 RPD:1
[CH: 50] LEN: 12 | HEX: F9 77 FA FB FE 73 95 EF C1 E9 AB 7D | T:826491 RPD:0
[CH: 50] LEN: 12 | HEX: F9 77 74 FE FE 70 95 D7 76 7E BF FE | T:826502 RPD:1
[CH: 50] LEN: 12 | HEX: F1 77 5E F6 F6 70 95 EF 76 7F BF FF | T:826513 RPD:1
[CH: 50] LEN: 12 | HEX: FD 77 7E ED ED 73 95 EE C1 F9 BF FF | T:826513 RPD:0
[CH: 50] LEN: 12 | HEX: F5 77 7E FC F6 70 95 EE 76 7B BB B7 | T:826525 RPD:1
[CH: 50] LEN: 12 | HEX: F9 77 F5 FE EE 70 95 DD 76 7F BB FB | T:826525 RPD:0
[CH: 50] LEN: 12 | HEX: F5 77 7E FF FE 73 95 FF C1 E9 BE FB | T:826536 RPD:1
[CH: 50] LEN: 12 | HEX: F5 77 BE FE FE 70 95 FD 76 7F FF BB | T:826548 RPD:1
[CH: 50] LEN: 12 | HEX: F9 77 DE F5 FD 73 95 EE 81 D9 BD ED | T:826548 RPD:0
[CH: 50] LEN: 12 | HEX: F5 77 FA F6 FA 70 95 FD 76 7F 7F 77 | T:826559 RPD:1
[CH: 50] LEN: 12 | HEX: FD 77 EF EE F6 70 95 DD 76 7F 7B FF | T:826559 RPD:0
[CH: 50] LEN: 12 | HEX: F9 77 FA F9 DF 73 95 D7 C1 F9 BF FF | T:826571 RPD:1
[CH: 50] LEN: 12 | HEX: F5 77 F4 FD EE 73 95 D5 41 A9 BF EF | T:826571 RPD:0
[CH: 50] LEN: 12 | HEX: F5 77 5E FC F6 70 95 DE F6 77 7F 66 | T:826582 RPD:1
[CH: 50] LEN: 12 | HEX: F5 77 FA FD EE 73 95 FF 41 FD BF FF | T:826594 RPD:1
[CH: 50] LEN: 12 | HEX: F9 77 BE FA FA 70 95 FE F6 7F 7F DF | T:826594 RPD:0
[CH: 50] LEN: 12 | HEX: F5 77 FC FD EF 73 95 FE 81 FD BF EF | T:826605 RPD:1
[CH: 50] LEN: 12 | HEX: F9 77 FE FA FA 70 95 FF 76 77 7F EF | T:826605 RPD:0
[CH: 50] LEN: 12 | HEX: F9 77 FE FD FE 73 95 F7 C1 DB BB 7D | T:826617 RPD:1
[CH: 50] LEN: 12 | HEX: F9 77 76 EA EA 70 95 FE F6 77 7F FF | T:826617 RPD:0
[CH: 50] LEN: 12 | HEX: F1 77 AD FB FD 73 95 FE C1 FD BF 7F | T:826628 RPD:1
[CH: 50] LEN: 12 | HEX: F9 77 5E FF FD 73 95 FD 41 ED BF FF | T:826639 RPD:1
[CH: 50] LEN: 12 | HEX: F9 77 7A F4 FE 70 95 EE 76 7D AE F5 | T:826640 RPD:0
[CH: 50] LEN: 12 | HEX: E9 77 5E FB FE 70 95 FD 76 76 BF EF | T:826651 RPD:1
[CH: 50] LEN: 12 | HEX: F9 77 FE FE F4 70 95 EB 76 FF 7F BF | T:826651 RPD:0
[CH: 50] LEN: 12 | HEX: F9 77 F4 FD FF 73 95 EF 41 FD BB FF | T:826663 RPD:1
[CH: 50] LEN: 12 | HEX: FD 77 76 FE F6 70 95 EF F6 77 75 EF | T:826663 RPD:0
[CH: 50] LEN: 12 | HEX: ED 77 76 ED DD 73 95 DD C1 D5 BB FD | T:826674 RPD:1
[CH: 50] LEN: 12 | HEX: F9 77 FE F6 FE 70 95 F6 F6 7F AF FB | T:826685 RPD:1
[CH: 50] LEN: 12 | HEX: ED 77 76 F5 EE 73 95 FF C1 D5 AF EF | T:826686 RPD:0
[CH: 50] LEN: 12 | HEX: F5 77 7E FC EC 70 95 FD 76 77 7F 7F | T:826697 RPD:1
[CH: 50] LEN: 12 | HEX: FD 77 76 FC FF 70 95 FE 76 7F 7F BF | T:826697 RPD:0
[CH: 50] LEN: 12 | HEX: F9 77 BC FD FE 73 95 DB C1 ED AF EF | T:826709 RPD:1
[CH: 50] LEN: 12 | HEX: F5 77 FE F5 EE 73 95 ED 41 FD BF F4 | T:826720 RPD:1
[CH: 50] LEN: 12 | HEX: F9 77 76 FE EE 70 95 EF 76 7F 7F 5F | T:826720 RPD:0
[CH: 50] LEN: 12 | HEX: F5 77 BE FD EE 73 95 FA C1 FD BF EE | T:826731 RPD:1
[CH: 50] LEN: 12 | HEX: F9 77 F4 FD FE 73 95 FE C1 ED B5 FF | T:826732 RPD:0
[CH: 50] LEN: 12 | HEX: F5 77 AC FE EE 70 95 DF 76 7B BB 6F | T:826743 RPD:1
[CH: 50] LEN: 12 | HEX: F9 77 F6 ED FD 73 95 FE C1 ED BF FB | T:826743 RPD:0
[CH: 50] LEN: 12 | HEX: F5 77 FC FF FE 70 95 EB 76 7F 77 FF | T:826755 RPD:1
[CH: 50] LEN: 12 | HEX: F9 77 FA FD D6 73 95 ED 41 FD AF FB | T:826766 RPD:1
[CH: 50] LEN: 12 | HEX: F5 77 74 FE FE 70 95 FD 76 7F B7 FD | T:826766 RPD:0
[CH: 50] LEN: 12 | HEX: F9 77 F4 FD FC 73 95 FE C1 F5 BF EF | T:826777 RPD:1
[CH: 50] LEN: 12 | HEX: E9 77 6A F6 EA 70 95 ED 76 77 7D 7B | T:826778 RPD:0
[CH: 50] LEN: 12 | HEX: E9 77 FA F5 DE 73 95 FD C1 ED AF EF | T:826789 RPD:1
[CH: 50] LEN: 12 | HEX: F1 77 DE FE FE 70 95 FD 76 77 7F 7A | T:826789 RPD:0
[CH: 50] LEN: 12 | HEX: F5 77 DE FD FE 73 95 ED C1 F5 BB FF | T:826801 RPD:1
[CH: 50] LEN: 12 | HEX: F5 77 EA F6 EE 70 95 DD 76 7B 7F FE | T:826812 RPD:1
[CH: 50] LEN: 12 | HEX: F9 77 FC F5 FD 73 95 ED C1 FD BF 5F | T:826812 RPD:0
[CH: 50] LEN: 12 | HEX: F5 77 BE F6 FA 70 95 DD 76 7B 6F EF | T:826823 RPD:0
[CH: 50] LEN: 12 | HEX: F5 77 EA F6 FE 70 95 FE F6 7F 7D F5 | T:826832 RPD:1
[CH: 50] LEN: 12 | HEX: F5 77 BA FD FF 73 95 EF C1 FD BB FD | T:826835 RPD:1
[CH: 50] LEN: 12 | HEX: F5 77 FA FA F6 70 95 EF 76 7B 7F 7D | T:826846 RPD:1
[CH: 50] LEN: 12 | HEX: F1 77 DD F5 F5 73 95 EE 81 F5 BF FE | T:826846 RPD:0
[CH: 50] LEN: 12 | HEX: F5 77 76 EE EE 70 95 FE F6 7F BD FF | T:826857 RPD:1
[CH: 50] LEN: 12 | HEX: F1 77 7E F5 FA 73 15 FD C1 FB BB D6 | T:826858 RPD:0
[CH: 50] LEN: 12 | HEX: F5 77 7E FE FE 70 95 DF 76 7B 77 FB | T:826869 RPD:1
